FIPS,CACFP_PART_2016,CONVS16,FFR16,FSR16,GROC16,NSLP_PART_2016,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFAC16,REDEMP_WICS16,SBP_PART_2016,SFSP_PART_2016,SNAP_BBCE16,SNAP_PART_RATE16,SPECS16,SUPERC16,State_Population_2016,WICS16,WIC_PART_2016,Population_Estimate_2016,White,African_american,Asian,Latino,HS_GED,Bachelors,Employed,Unemployed,Midwest,Northeast,South,West
1.1054120022102976,-0.33280026269743607,-0.28226166822825854,-0.2668651040969957,-0.26149541902851203,-0.20861391875580482,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,-0.29240615382860186,-0.4261573067470173,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,-0.2513047124088891,-0.41362167402518063,-0.2522744557966742,-0.21264408645637137,-0.28490702410234264,-0.26042023352446914,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.1055439809279943,-0.33280026269743607,0.10932355934354651,-0.028877967398456772,-0.06524974192504568,-0.04236096917122238,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,-0.022106070508474147,0.8522017576100958,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,-0.0829891975068133,0.28214907049574817,-0.2522744557966742,-0.06355582424549283,-0.28490702410234264,-0.08139765782542958,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.1056759596456913,-0.33280026269743607,-0.14829830090106208,-0.207368319922361,-0.2207651841579813,-0.16427979886658284,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,-0.2383461371645763,0.5079638362254738,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,-0.2513047124088891,-0.18169809251820435,-0.2522744557966742,-0.17004744011040607,-0.28490702410234264,-0.21312816924007885,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.105807938363388,-0.33280026269743607,0.04749431288484045,-0.16274573179138493,-0.21706243553338758,-0.16427979886658284,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,-0.21131612883256354,0.1603860342952279,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,-0.2513047124088891,-0.18169809251820435,-0.2522744557966742,-0.14874911693742343,-0.28490702410234264,-0.15130727133934432,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.105939917081085,-0.33280026269743607,-0.07616418003257168,-0.08465620256217685,-0.1504129602907009,-0.13102920894966635,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,-0.26537614549658906,0.16204781235195323,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,-0.21764160942847394,0.05022548898877192,-0.2522744557966742,-0.10615247059145813,-0.28490702410234264,-0.10193404163166761,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.1060718957987818,-0.33280026269743607,0.6863965262914697,0.606993913467952,0.36426909852782413,0.13497551038566558,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,0.14007397948360248,0.479872794008228,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,0.051663214414847336,1.2098433965236535,-0.2522744557966742,0.38370896238714286,-0.28490702410234264,0.6187239352766454,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.1062038745164786,-0.33280026269743607,-0.2719567938184742,-0.229679613987849,-0.27630641352688684,-0.18644685881119383,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,-0.29240615382860186,0.3112102631906463,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,-0.2513047124088891,-0.18169809251820435,-0.2522744557966742,-0.17004744011040607,-0.28490702410234264,-0.24505953872875888,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.1063358532341756,-0.33280026269743607,-0.3440909146869646,-0.24827235904242237,-0.27630641352688684,-0.23078097870041583,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,-0.26537614549658906,3.1340017383240233,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,-0.2513047124088891,-0.18169809251820435,-0.2522744557966742,-0.2765390559753193,-0.28490702410234264,-0.2666032307994655,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.1064678319518724,-0.33280026269743607,0.4493844148664299,0.13101964007087408,0.2791058801621689,0.035223740634916095,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,-0.13022610383652522,0.7546596648250057,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,0.35463114123858375,-0.18169809251820435,-0.2522744557966742,-0.04225750107251018,-0.28490702410234264,-0.019697757914421004,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
1.1065998106695694,-0.33280026269743607,4.571334178780168,2.3881788896960794,1.9194235208571806,1.57583440678538,-0.23609980818005236,-0.2290494880978106,0.24586267932644426,1.7889044877363818,1.8211566980406146,-0.09431803386046661,-0.34293114948868986,-1.676508160329226,0.9500510715793905,1.5328397455531144,2.8333084670724875,-0.2522744557966742,1.5125200905552232,-0.28490702410234264,2.522436731780759,-0.12827043465858523,0.03824001647209106,-0.3806777893274748,-0.3899046967770498,0.018307375409989328,-0.3000282446023541,-0.2277639172170693,-0.1790664199066201,-0.7108257523751467,-0.27246797198530154,1.0991621921323624,-0.40741365875819685
