FIPS,State,County,CHILDPOVRATE15,FARM_TO_SCHOOL15,FDPIR15,LACCESS_BLACK15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,LACCESS_HHNV10,LACCESS_HHNV15,LACCESS_HISP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_MULTIR15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_NHPI15,LACCESS_POP10,LACCESS_POP15,LACCESS_SENIORS10,LACCESS_SENIORS15,LACCESS_SNAP15,LACCESS_WHITE15,MEDHHINC15,PCH_LACCESS_HHNV_10_15,PCH_LACCESS_LOWI_10_15,PCH_LACCESS_POP_10_15,PCH_LACCESS_SENIORS_10_15,PCT_18YOUNGER10,PCT_65OLDER10,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_HISP10,PCT_LACCESS_BLACK15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,PCT_LACCESS_HISP15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,PCT_LACCESS_MULTIR15,PCT_LACCESS_NHASIAN15,PCT_LACCESS_NHNA15,PCT_LACCESS_NHPI15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,PCT_LACCESS_SNAP15,PCT_LACCESS_WHITE15,PCT_NHASIAN10,PCT_NHBLACK10,PCT_NHNA10,PCT_NHPI10,PCT_NHWHITE10,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PERCHLDPOV10,PERPOV10,POPLOSS10,POVRATE15,Population_Estimate_2015
47053,TN,gibson,23.4,1,0.0,1610.951799,1586.219669,1424.33079,-10.20595587,692.625945,534.8061276,130.4063165,3106.431155,3195.696503,136.9303865,17.52521431,15.9032443,0.0,6761.36678,6040.648371,1386.484009,1282.643041,494.6061309,4259.337708,40789.0,-22.78572129,2.873565963,-10.65935974,-7.489517946,24.95622245,16.47847352,48.39197065,0.0,2.036914035,3.242460799,3.192680936,2.866837328,3.517653352,2.716130663,0.262476735,6.25250318,6.432172984,0.275608128,0.035274066,0.032009428,0.0,13.60901471,12.15838088,2.790660809,2.581653766,2.511966129,8.573028417,0.213352656,18.73276573,0.197250569,0.008051044,77.63420083,8.676883229,0.0,0.0,0.0,0.0,15.7,49215
47055,TN,giles,24.3,1,0.0,224.9535665,961.2524444,727.429248,-24.32484805,340.8592667,491.9007175,38.68355341,1710.173278,1491.771016,78.26805684,12.41337275,10.51618381,1.007909286,4577.935529,3490.058378,839.0156336,647.9177926,220.0687464,3162.89928,42207.0,44.31196844,-12.77076798,-23.76348781,-22.77643388,22.07563168,16.65253519,48.40794829,0.0,1.597422418,0.7629424,3.260140561,2.467116324,2.870393825,4.142321831,0.1311974,5.800146779,5.059423491,0.265450422,0.042100637,0.035666216,0.00341838,15.52632026,11.83672504,2.845567691,2.197448847,1.853210496,10.72714695,0.376462608,10.19501441,0.322197728,0.023740885,85.53840936,10.96480728,0.0,0.0,0.0,0.0,16.1,28967
47057,TN,grainger,27.9,0,0.0,0.0,0.0,0.0,0.0,490.8397918,336.4940791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38103.0,-31.44523229,0.0,0.0,0.0,22.28009004,15.99947036,55.35024821,0.0,2.339232908,0.0,0.0,0.0,5.436258631,3.726814476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105927528,0.445778347,0.158891292,0.013240941,96.01006312,9.928295643,0.0,1.0,0.0,0.0,18.7,22844
47059,TN,greene,25.2,1,0.0,87.05177391,1233.002448,1447.03576,17.35870946,629.1542583,719.5578599,149.4577846,2490.3126,2502.82446,118.6572989,25.88540241,10.53282346,1.101124897,5638.953655,6489.646377,991.8562075,1149.766463,514.5292938,6246.41795,36309.0,14.36906775,0.50242126,15.08600308,15.92068024,21.18667461,17.44272203,47.20316878,0.0,2.455289041,0.126471755,1.791347572,2.102302393,2.245535935,2.568198515,0.217137314,3.618010198,3.636187851,0.172389329,0.037607186,0.015302441,0.001599751,8.192462198,9.428377297,1.441002176,1.670419524,1.836424062,9.075006828,0.361755604,1.968589734,0.217925063,0.015981171,93.90681524,9.023282775,0.0,0.0,0.0,0.0,18.0,68521
47061,TN,grundy,36.6,1,0.0,1.11253166,263.3714476,24.49025105,-90.70125054,253.0565165,289.6262883,1.112131499,644.1746342,98.49219653,0.895267753,0.0,0.46383351,0.0,920.2124946,135.4241778,132.3588046,27.24667998,19.41844187,132.9525442,33595.0,14.45122706,-84.71032678,-85.28337981,-79.41453153,23.11902503,17.52171057,70.85277896,0.0,0.824636941,0.008118891,1.92199845,0.17872182,4.681896697,5.358488219,0.008115971,4.700975219,0.718763749,0.00653337,0.0,0.003384905,0.0,6.715408995,0.988281236,0.965911148,0.198837335,0.35926812,0.970244065,0.175144129,0.262716194,0.459753339,0.007297672,97.21228928,8.739923632,0.0,1.0,1.0,0.0,26.1,13335
47063,TN,hamblen,26.3,0,0.0,1307.667958,4866.387327,6820.682236,40.15904978,380.7069019,869.6005093,3001.045096,6842.383808,11826.87853,2392.07248,192.3738241,108.9968915,32.0419999,20801.46696,27609.29259,3578.334463,4465.708913,2422.246772,23576.13945,39566.0,128.4173218,72.84734189,32.72762275,24.79853294,23.56740854,15.85763622,49.91972707,0.0,10.73004605,2.090796812,7.78074208,10.90541417,1.550109536,3.540718686,4.798294155,10.94011225,18.90969323,3.824623433,0.307581581,0.174272339,0.051231133,33.25893284,44.14379092,5.72130734,7.140107626,9.86256829,37.69528564,0.716295728,3.827705295,0.159887439,0.107124584,82.89524175,9.251454947,0.0,0.0,0.0,0.0,19.0,63375
47065,TN,hamilton,21.7,0,0.0,34317.84528,28638.17953,31843.67467,11.19308277,4828.513952,4555.41226,4573.760483,41437.07772,46487.76437,4008.058064,2160.870873,402.9637865,68.76397569,127477.8208,138476.9449,17762.58354,20378.01754,8293.105573,97518.44297,48943.0,-5.656019542,12.18880996,8.628264924,14.72440089,21.580679,14.68660744,48.08988236,0.0,4.456062034,10.19958964,8.51153902,9.464242627,3.532662642,3.332854553,1.359365066,12.31549315,13.8166052,1.191232933,0.642231352,0.119764666,0.020437307,37.88761939,41.15666356,5.279208572,6.056540406,6.067445291,28.98340768,1.740161623,20.05658869,0.242820162,0.044581425,71.97046926,6.076686468,0.0,0.0,0.0,0.0,15.2,353769
47067,TN,hancock,44.3,1,0.0,0.0,8.00214727,5.455904291,-31.81949661,202.4339884,185.082564,0.0,51.56949672,26.12294289,4.039211869,0.0,0.0,0.0,95.21591727,66.53957172,28.24191268,19.08137044,10.23975683,62.50035942,27987.0,-8.57139878,-49.34419655,-30.11717617,-32.43598386,21.93870069,16.99662707,73.21428571,0.0,0.190643789,0.0,0.117350745,0.080010328,7.1658049,6.551595186,0.0,0.756261867,0.383090525,0.059234666,0.0,0.0,0.0,1.39633256,0.975796623,0.41416502,0.279826521,0.362469268,0.916561951,0.102654348,0.351957765,0.278633231,0.0,97.8589236,8.75,0.0,1.0,1.0,0.0,30.1,6579
47069,TN,hardeman,31.1,0,0.0,4064.86479,1475.472747,1319.174542,-10.59309332,622.0614232,592.2301319,98.91810185,2596.206628,5218.115601,76.14054222,14.871902,12.43035448,0.0,8060.877855,7469.06003,841.7219422,780.4318162,574.7129222,3300.752454,37729.0,-4.795553978,100.9899961,-7.341853276,-7.281516964,21.19766631,13.9837816,71.47327877,0.0,1.379664624,14.91529296,5.413982853,4.840474597,6.688113356,6.36738127,0.362962249,9.526315004,19.14694016,0.279384076,0.054569779,0.045610958,0.0,29.57794685,27.40637739,3.088547838,2.863654703,6.179044428,12.11151966,0.532051517,41.19913404,0.205481965,0.0,55.76266833,10.92922484,0.0,1.0,0.0,0.0,24.2,25782
47071,TN,hardin,31.9,1,0.0,69.8616887,651.7586133,769.8871449,18.12458311,344.8094364,362.5669673,72.43112997,1500.036126,1854.358225,65.9044006,18.30548041,4.102571376,4.813285737,3073.037469,3650.040675,629.3275969,742.4797345,331.7088345,3487.053244,36765.0,5.14995505,23.62090442,18.77631533,17.97984678,21.68984861,18.47767617,58.64661654,0.0,1.909628833,0.268430372,2.504259638,2.958146257,3.239776721,3.406623765,0.278302966,5.763606108,7.125021998,0.253225239,0.070335359,0.015763357,0.018494143,11.80756731,14.02459339,2.418072685,2.852838448,3.11668547,13.3983449,0.391915777,3.411972643,0.265119496,0.026896181,92.6381311,7.303974221,0.0,1.0,0.0,0.0,22.7,25754
47073,TN,hawkins,30.6,1,0.0,114.7935358,3075.061587,2571.006523,-16.3917063,849.3877569,796.0988969,150.2118254,4399.161133,3991.894034,137.1625588,66.53688166,21.17602995,4.000000001,13279.24825,11433.53299,1908.732987,1772.331852,714.6370622,11089.86398,38708.0,-6.273796578,-9.25783546,-13.89924505,-7.146161166,22.32857671,16.48162159,51.17045455,0.0,1.177133004,0.201983946,5.410697283,4.523791676,3.638725772,3.410439519,0.264303882,7.740504871,7.023901666,0.241343161,0.117074379,0.037260095,0.007038164,23.36538322,20.11777135,3.358494162,3.118490756,3.061461947,19.51307159,0.487392888,1.293262717,0.175954111,0.014076329,95.81229215,9.25,0.0,0.0,0.0,0.0,21.2,56251
47075,TN,haywood,33.1,0,0.0,1777.444968,780.6545789,768.34089,-1.577354345,272.5226145,362.886065,70.41057418,1492.419327,1561.22965,64.34663411,0.0,4.000141618,0.0,3041.491805,2992.977457,384.5650908,374.7819631,386.4879661,1147.185707,35216.0,33.15814749,4.610656127,-1.595083936,-2.543945841,25.60281045,13.7488689,66.77124929,0.0,3.848405813,9.461036718,4.155291313,4.089747645,3.653607917,4.865076619,0.37478349,7.943893794,8.31015942,0.34250617,0.0,0.021292072,0.0,16.18934265,15.93110905,2.046974455,1.994900533,5.181498406,6.106274056,0.111779422,50.19960611,0.13307074,0.0,44.81290254,10.75299487,0.0,1.0,0.0,0.0,22.5,17985
47077,TN,henderson,25.0,0,0.0,379.8250882,902.9418433,838.2343843,-7.166293104,247.5489211,435.6254196,65.80977414,1524.4608,1233.223534,114.2535871,5.217440462,5.218592148,0.0,3798.188784,3523.628079,521.5435706,480.4733573,266.4645129,3019.113382,41328.0,75.97548708,-19.10428042,-7.228727191,-7.87474253,24.33288919,14.80787929,49.5035461,0.0,1.915805395,1.367802543,3.251618147,3.01859766,2.205532084,3.881195827,0.236990076,5.489793655,4.441008081,0.411442929,0.018788723,0.01879287,0.0,13.67780181,12.68907083,1.87815035,1.730250845,2.374060165,10.8722438,0.273686485,7.810868234,0.144045518,0.010803414,88.16305953,10.37487335,0.0,0.0,0.0,0.0,17.5,27969
47079,TN,henry,30.8,0,0.0,598.2992046,1326.128461,1235.896304,-6.804179237,527.1773397,535.1900482,85.12672001,2665.519614,2599.7942,130.7061132,23.79836388,23.43658011,0.0,6541.4299,6159.815761,1418.830497,1343.592339,610.1360692,5383.575521,38328.0,1.519926572,-2.465763666,-5.833803088,-5.30282921,21.73832354,19.68450356,54.93300853,0.0,1.710485617,1.850600695,4.101851101,3.8227538,3.875164214,3.934063865,0.26330566,8.244725068,8.041429633,0.40428739,0.073610776,0.072491742,0.0,20.2333124,19.0529408,4.38858799,4.155868665,4.484975516,16.65195027,0.293844726,7.97401794,0.287658521,0.015465512,88.22146613,9.114900528,0.0,0.0,0.0,0.0,19.1,32134
47081,TN,hickman,29.3,0,0.0,693.2210191,248.9237654,378.7142297,52.14064801,320.9401721,504.3786313,74.74906616,829.4147742,1270.286362,42.17926324,5.000000063,10.03350664,0.0,2279.000806,2775.948616,163.7688138,229.3642659,128.740471,2025.51481,39682.0,57.15659026,53.15453756,21.80551271,40.05368947,22.527339,13.9327663,55.774721,0.0,1.842851357,2.807699551,1.008196701,1.533876993,3.575536677,5.619191525,0.302750369,3.359314598,5.144942738,0.170835412,0.020251114,0.040637937,0.0,9.230460938,11.24321027,0.663300177,0.928976371,1.43427441,8.20378619,0.19036047,4.463345484,0.477926286,0.008100446,91.76589712,9.161692188,0.0,0.0,0.0,0.0,20.4,24378
47083,TN,houston,29.9,0,0.0,0.003223843,59.1203343,35.8504942,-39.36012942,220.4822759,93.89148412,4.266552262,160.2401015,116.2429762,4.948968697,0.311140201,2.954321969,0.0,295.8041068,214.2499277,46.30720854,45.68244551,15.9745548,206.0322733,39999.0,-57.41540506,-27.45700039,-27.57033362,-1.349170138,23.64111085,17.83764538,49.29197572,0.0,1.530975552,3.83e-05,0.701641755,0.425474652,6.583525707,2.803567755,0.05063556,1.901733937,1.379574842,0.058734497,0.00369262,0.035061974,0.0,3.510611284,2.542724041,0.549575226,0.542160521,0.476994768,2.445196692,0.296700688,2.254925231,0.237360551,0.035604083,94.12532637,10.58664869,0.0,0.0,0.0,0.0,19.5,8123
47085,TN,humphreys,25.2,0,0.0,53.13328292,379.5792861,312.4469938,-17.6859736,252.3352476,217.7495363,27.14780844,807.8570868,490.8596449,27.43346232,3.969370853,12.48518711,0.030698635,1678.736569,1206.506907,333.2510027,211.1416526,59.1622854,1109.454901,43657.0,-13.70625454,-39.23929703,-28.13006346,-36.64185528,23.15783795,17.28881217,41.27131783,0.0,1.499622397,0.286618205,2.047574097,1.685440683,3.385232729,2.921244114,0.146444106,4.357843817,2.647856538,0.147985016,0.021412077,0.067349159,0.000165598,9.05565093,6.508290577,1.797664272,1.138966731,0.793698489,5.984760497,0.183407056,2.454417952,0.350631136,0.032365951,94.38990182,8.527131783,0.0,0.0,0.0,0.0,15.9,18143
47087,TN,jackson,34.2,0,0.0,0.0,0.229108502,0.229108502,0.0,272.4001465,205.4815586,0.0,0.708532236,0.68022481,2.79e-05,0.0,0.0,0.0,1.603731649,1.603731649,0.458161262,0.458161262,0.113222227,1.603703778,34651.0,-24.5662819,-3.995220586,0.0,0.0,20.37291631,17.65767314,61.90176322,0.0,1.409176835,0.0,0.001968624,0.001968624,5.68803814,4.290698656,0.0,0.006088093,0.00584486,2.39e-07,0.0,0.0,0.0,0.013780131,0.013780131,0.00393677,0.00393677,0.002364214,0.013779892,0.085925417,0.249183709,0.446812167,0.008592542,96.81216704,10.70528967,0.0,0.0,0.0,0.0,23.6,11526
47089,TN,jefferson,25.6,1,0.0,129.9936008,616.8670552,616.8670552,0.0,624.9448075,737.4763429,237.3762299,1294.00098,1312.398472,157.2375047,9.988142633,13.86005002,0.0,2646.345565,2646.345565,392.3050926,392.3050926,226.8584024,2335.266277,42669.0,18.00663579,1.421752522,0.0,0.0,22.09621258,16.21179995,48.77697842,0.0,3.149376544,0.2528714,1.199967038,1.199967038,3.146117638,3.712627582,0.461758574,2.51716883,2.552956741,0.305867887,0.019429538,0.026961406,0.0,5.147831161,5.147831161,0.763135551,0.763135551,1.142058007,4.542700949,0.412395199,2.005563445,0.295679577,0.021397864,92.86283969,9.14323087,0.0,0.0,0.0,0.0,16.8,52981
47091,TN,johnson,34.9,1,0.0,3.420478649,376.5468025,429.8283989,14.15005944,223.0579982,356.2304681,21.9318066,919.5664662,872.6961553,29.47191071,2.49440262,6.342513178,0.0,1964.559215,2275.559271,347.4949596,410.6603918,214.7448418,2233.829962,33402.0,59.70306873,-5.097000883,15.83052592,18.17736647,18.42797632,17.69348827,58.62365591,0.0,1.474457356,0.018748513,2.063948709,2.355998679,3.100180656,4.951083643,0.120213805,5.040377473,4.783469389,0.161543032,0.013672455,0.034764926,0.0,10.76824827,12.47291861,1.904708176,2.250933961,2.984639914,12.24418966,0.191843894,2.044507783,0.175400132,0.016443762,95.22582767,11.61290323,0.0,1.0,1.0,0.0,27.2,17833
